frame,id,x_m,y_m;Frame;ID;x_m;y_m
;158;3;4.12;4.21
;158;8;3.25;2.38
;158;15;4.19;2.83
;158;10;4.61;2.52
;158;7;3.22;2.84
;158;58;5.30;2.20
;158;44;1.10;2.80
;158;42;0.95;4.57
;158;64;0.24;1.63
;159;1;3.82;2.54
;159;2;5.25;3.01
;159;3;4.12;4.21
;159;8;3.25;2.38
;159;15;4.19;2.84
;159;10;4.65;2.51
;159;7;3.22;2.84
;159;58;5.31;2.20
;159;44;1.10;2.79
;159;64;0.23;1.64
;160;1;3.82;2.54
;160;2;5.25;3.01
;160;3;4.12;4.22
;160;8;3.25;2.38
;160;15;4.19;2.84
;160;10;4.62;2.51
;160;7;3.22;2.84
;160;58;5.32;2.20
;160;44;1.10;2.80
;160;64;0.23;1.64
;161;1;3.82;2.54
;161;2;5.25;3.01
;161;3;4.12;4.22
;161;8;3.25;2.38
;161;15;4.19;2.85
;161;10;4.60;2.50
;161;7;3.23;2.85
;161;58;5.33;2.20
;161;44;1.10;2.80
;161;64;0.29;1.68
;162;1;3.82;2.54
;162;2;5.25;3.02
;162;3;4.12;4.23
;162;8;3.26;2.38
;162;15;4.19;2.85
;162;10;4.60;2.50
;162;7;3.23;2.85
;162;58;5.33;2.21
;162;44;1.10;2.80
;162;64;0.31;1.70
;162;60;2.57;2.71
;163;1;3.82;2.54
;163;2;5.25;3.02
;163;3;4.12;4.23
;163;8;3.26;2.38
;163;15;4.18;2.85
;163;10;4.59;2.50
;163;7;3.23;2.85
;163;58;5.31;2.22
;163;44;1.09;2.81
;163;64;0.32;1.71
;163;60;2.56;2.71
;164;1;3.82;2.54
;164;2;5.25;3.02
;164;3;4.12;4.23
;164;8;3.26;2.38
;164;15;4.18;2.85
;164;10;4.59;2.50
;164;7;3.23;2.85
;164;58;5.31;2.22
;164;44;1.09;2.81
;164;64;0.32;1.71
;164;60;2.56;2.71
;165;1;3.82;2.54
;165;2;5.25;3.02
;165;3;4.12;4.23
;165;8;3.26;2.38
;165;15;4.19;2.85
;165;10;4.59;2.50
;165;7;3.23;2.85
;165;58;5.25;2.23
;165;44;1.09;2.81
;165;64;0.33;1.71
;165;60;2.55;2.70
;166;1;3.82;2.54
;166;2;5.25;3.02
;166;3;4.12;4.23
;166;8;3.26;2.38
;166;15;4.19;2.85
;166;10;4.58;2.51
;166;7;3.23;2.85
;166;58;5.22;2.26
;166;44;1.09;2.81
;166;64;0.27;1.66
;166;60;2.54;2.70
;167;1;3.82;2.54
;167;2;5.25;3.01
;167;3;4.12;4.23
;167;8;3.26;2.39
;167;15;4.19;2.85
;167;10;4.58;2.51
;167;7;3.23;2.85
;167;58;5.20;2.26
;167;44;1.09;2.79
;167;64;0.25;1.64
;167;60;2.54;2.70
;168;1;3.82;2.54
;168;2;5.25;3.01
;168;3;4.12;4.23
;168;8;3.26;2.39
;168;15;4.18;2.85
;168;10;4.58;2.50
;168;7;3.23;2.85
;168;58;5.23;2.24
;168;44;1.09;2.79
;168;64;0.24;1.63
;168;60;2.53;2.68
;169;1;3.82;2.54
;169;2;5.25;3.01
;169;3;4.12;4.23
;169;8;3.26;2.39
;169;15;4.19;2.85
;169;10;4.57;2.50
;169;7;3.23;2.85
;169;58;5.22;2.23
;169;44;1.10;2.79
;169;64;0.24;1.63
;169;60;2.53;2.67
;170;1;3.82;2.54
;170;2;5.25;3.01
;170;3;4.12;4.23
;170;8;3.26;2.39
;170;15;4.19;2.85
;170;10;4.57;2.49
;170;7;3.22;2.85
;170;58;5.21;2.23
;170;44;1.10;2.79
;170;64;0.24;1.63
;170;60;2.53;2.66
;171;1;3.82;2.54
;171;2;5.25;3.01
;171;3;4.12;4.24
;171;8;3.26;2.39
;171;15;4.19;2.85
;171;10;4.57;2.49
;171;7;3.22;2.85
;171;58;5.22;2.23
;171;44;1.10;2.79
;171;64;0.24;1.63
;172;1;3.82;2.54
;172;2;5.25;3.02
;172;3;4.13;4.24
;172;8;3.25;2.39
;172;15;4.19;2.85
;172;10;4.57;2.48
;172;7;3.22;2.86
;172;58;5.19;2.24
;172;44;1.10;2.78
;172;64;0.24;1.63
;173;1;3.82;2.54
;173;2;5.25;3.02
;173;3;4.13;4.24
;173;8;3.25;2.39
;173;15;4.19;2.85
;173;10;4.57;2.46
;173;7;3.23;2.86
;173;58;5.18;2.24
;173;64;0.24;1.63
;174;1;3.82;2.54
;174;2;5.25;3.02
;174;3;4.13;4.24
;174;8;3.25;2.39
;174;15;4.19;2.85
;174;10;4.57;2.46
;174;7;3.23;2.86
;174;58;5.18;2.22
;174;64;0.24;1.63
;175;1;3.82;2.54
;175;2;5.25;3.02
;175;3;4.12;4.24
;175;8;3.25;2.39
;175;15;4.19;2.85
;175;10;4.57;2.45
;175;7;3.23;2.86
;175;58;5.17;2.22
;175;64;0.24;1.63
;176;1;3.82;2.54
;176;2;5.25;3.02
;176;3;4.13;4.24
;176;8;3.25;2.39
;176;15;4.19;2.86
;176;10;4.57;2.45
;176;7;3.23;2.86
;176;58;5.26;2.22
;176;64;0.24;1.63
;177;1;3.82;2.54
;177;2;5.25;3.02
;177;3;4.13;4.25
;177;8;3.25;2.39
;177;15;4.19;2.86
;177;10;4.57;2.44
;177;7;3.23;2.86
;177;58;5.30;2.22
;177;64;0.23;1.63
;178;1;3.82;2.54
;178;2;5.25;3.02
;178;3;4.13;4.26
;178;8;3.25;2.39
;178;15;4.19;2.86
;178;10;4.57;2.43
;178;7;3.23;2.86
;178;58;5.31;2.21
;178;64;0.23;1.63
;179;1;3.82;2.54
;179;2;5.25;3.02
;179;3;4.13;4.27
;179;8;3.25;2.39
;179;15;4.19;2.85
;179;10;4.55;2.42
;179;7;3.23;2.86
;179;58;5.31;2.21
;179;64;0.23;1.63
;180;1;3.82;2.54
;180;2;5.25;3.02
;180;3;4.13;4.25
;180;8;3.25;2.39
;180;15;4.19;2.85
;180;10;4.54;2.41
;180;7;3.23;2.86
;180;58;5.31;2.21
;180;64;0.29;1.68
;181;1;3.82;2.54
;181;2;5.25;3.02
;181;3;4.13;4.25
;181;8;3.25;2.39
;181;15;4.19;2.85
;181;10;4.54;2.40
;181;7;3.23;2.86
;181;58;5.26;2.22
;181;64;0.31;1.70
;181;60;2.50;2.64
;182;1;3.82;2.54
;182;2;5.25;3.02
;182;3;4.13;4.25
;182;8;3.25;2.39
;182;15;4.19;2.85
;182;10;4.54;2.40
;182;7;3.23;2.86
;182;58;5.25;2.23
;182;64;0.32;1.71
;182;60;2.50;2.64
;183;1;3.82;2.54
;183;2;5.25;3.02
;183;3;4.13;4.23
;183;8;3.25;2.40
;183;15;4.19;2.85
;183;10;4.53;2.39
;183;7;3.23;2.86
;183;58;5.24;2.23
;183;64;0.32;1.71
;183;60;2.49;2.65
;184;1;3.82;2.54
;184;2;5.25;3.02
;184;3;4.12;4.23
;184;8;3.25;2.40
;184;15;4.19;2.86
;184;10;4.53;2.38
;184;7;3.23;2.86
;184;58;5.24;2.23
;184;64;0.33;1.71
;184;60;2.49;2.69
;185;1;3.82;2.54
;185;2;5.25;3.02
;185;3;4.13;4.24
;185;8;3.25;2.40
;185;15;4.19;2.85
;185;10;4.53;2.37
;185;7;3.23;2.86
;185;58;5.23;2.23
;185;64;0.33;1.71
;185;60;2.49;2.72
;186;1;3.82;2.54
;186;2;5.25;3.02
;186;3;4.13;4.24
;186;8;3.25;2.40
;186;15;4.19;2.86
;186;10;4.53;2.37
;186;7;3.23;2.86
;186;58;5.23;2.22
;186;64;0.33;1.71
;186;60;2.47;2.74
;187;1;3.82;2.54
;187;2;5.25;3.02
;187;3;4.13;4.20
;187;8;3.25;2.40
;187;15;4.19;2.86
;187;7;3.23;2.86
;187;58;5.23;2.22
;187;64;0.33;1.71
;187;60;2.45;2.76
;188;1;3.82;2.54
;188;2;5.25;3.02
;188;3;4.13;4.18
;188;8;3.25;2.40
;188;15;4.19;2.86
;188;7;3.23;2.86
;188;58;5.23;2.22
;188;64;0.32;1.71
;188;60;2.44;2.76
;189;1;3.82;2.54
;189;2;5.25;3.02
;189;3;4.13;4.17
;189;8;3.25;2.40
;189;15;4.19;2.86
;189;7;3.23;2.86
;189;58;5.23;2.22
;189;64;0.32;1.71
;189;60;2.43;2.76
;190;1;3.82;2.54
;190;2;5.25;3.02
;190;3;4.13;4.21
;190;8;3.25;2.40
;190;15;4.19;2.85
;190;7;3.23;2.86
;190;58;5.22;2.22
;190;64;0.32;1.71
;190;60;2.42;2.77
;191;1;3.82;2.54
;191;2;5.25;3.02
;191;3;4.13;4.23
;191;8;3.25;2.40
;191;15;4.19;2.85
;191;7;3.23;2.86
;191;58;5.22;2.22
;191;64;0.32;1.71
;191;60;2.41;2.73
;192;1;3.82;2.54
;192;2;5.25;3.03
;192;3;4.13;4.25
;192;8;3.25;2.40
;192;15;4.19;2.85
;192;7;3.23;2.86
;192;58;5.22;2.22
;192;64;0.32;1.71
;192;60;2.40;2.78
;193;1;3.82;2.54
;193;2;5.25;3.03
;193;3;4.13;4.24
;193;8;3.25;2.40
;193;15;4.19;2.85
;193;7;3.23;2.86
;193;58;5.22;2.22
;193;64;0.32;1.71
;193;60;2.38;2.80
;193;44;1.07;2.78
;194;1;3.82;2.54
;194;2;5.25;3.02
;194;3;4.13;4.23
;194;8;3.25;2.40
;194;15;4.19;2.85
;194;7;3.23;2.86
;194;58;5.22;2.22
;194;64;0.32;1.71
;194;60;2.37;2.81
;194;44;1.07;2.78
;195;1;3.82;2.54
;195;2;5.25;3.03
;195;3;4.14;4.23
;195;8;3.25;2.40
;195;15;4.19;2.85
;195;7;3.23;2.86
;195;58;5.22;2.22
;195;64;0.32;1.71
;195;60;2.35;2.83
;196;1;3.82;2.54
;196;2;5.25;3.03
;196;3;4.14;4.23
;196;8;3.25;2.40
;196;15;4.19;2.85
;196;7;3.23;2.86
;196;58;5.22;2.22
;196;64;0.32;1.71
;196;60;2.33;2.84
;197;1;3.82;2.54
;197;2;5.25;3.03
;197;3;4.15;4.22
;197;8;3.25;2.40
;197;15;4.19;2.86
;197;7;3.23;2.86
;197;58;5.22;2.21
;197;64;0.26;1.66
;197;60;2.29;2.85
;198;1;3.82;2.54
;198;2;5.25;3.03
;198;3;4.15;4.23
;198;8;3.25;2.40
;198;15;4.19;2.86
;198;7;3.23;2.86
;198;58;5.26;2.21
;198;64;0.24;1.64
;198;60;2.26;2.85
