frame,id,x_m,y_m;Frame;ID;x_m;y_m
21,5,3.82,1.49;17;6;2.41;2.47
21,7,3.59,2.21;17;7;3.19;2.86
21,9,3.37,4.24;17;8;3.26;2.44
21,11,2.98,1.80;17;9;0.30;1.64
21,15,3.29,0.74;17;10;4.66;2.67
21,17,3.40,3.78;17;12;2.59;2.73
22,1,3.54,2.95;17;15;4.17;2.76
22,2,4.28,4.79;18;1;3.83;2.56
22,3,1.27,3.65;18;2;5.26;2.98
22,4,3.56,3.64;18;3;4.19;4.24
22,5,3.82,1.48;18;4;5.23;2.17
22,7,3.59,2.21;18;6;2.41;2.47
22,9,3.39,4.34;18;7;3.19;2.86
22,11,2.98,1.80;18;8;3.26;2.44
22,15,3.33,0.74;18;9;0.32;1.66
22,17,3.40,3.78;18;10;4.68;2.67
22,21,3.37,2.21;18;12;2.59;2.73
23,1,3.54,2.95;18;15;4.17;2.76
23,2,4.28,4.79;18;23;1.75;2.46
23,3,1.27,3.65;19;1;3.83;2.55
23,4,3.56,3.64;19;2;5.25;3.00
23,5,3.82,1.48;19;3;4.19;4.24
23,7,3.59,2.20;19;4;5.23;2.17
23,9,3.40,4.37;19;6;2.41;2.47
23,11,2.98,1.81;19;7;3.19;2.86
23,17,3.40,3.78;19;8;3.26;2.44
23,21,3.37,2.21;19;9;0.33;1.67
24,1,3.54,2.95;19;10;4.69;2.67
24,2,4.27,4.79;19;12;2.59;2.73
24,3,1.27,3.65;19;15;4.17;2.76
24,4,3.56,3.64;19;23;1.70;2.46
24,5,3.83,1.48;20;1;3.83;2.55
24,7,3.59,2.20;20;2;5.25;3.00
24,9,3.41,4.38;20;3;4.19;4.24
24,11,2.99,1.81;20;4;5.23;2.17
24,17,3.40,3.78;20;6;2.42;2.47
24,21,3.38,2.21;20;7;3.19;2.86
25,1,3.53,2.95;20;8;3.26;2.43
25,2,4.27,4.79;20;9;0.34;1.68
25,3,1.28,3.60;20;10;4.69;2.67
25,4,3.56,3.64;20;12;2.59;2.73
25,5,3.83,1.48;20;15;4.17;2.76
25,7,3.59,2.21;20;23;1.69;2.46
25,9,3.41,4.39;21;1;3.83;2.55
25,11,2.99,1.81;21;2;5.25;3.01
25,17,3.39,3.77;21;3;4.19;4.24
25,21,3.38,2.21;21;4;5.23;2.17
26,1,3.53,2.95;21;6;2.42;2.47
26,2,4.28,4.79;21;7;3.19;2.86
26,3,1.29,3.64;21;8;3.26;2.43
26,4,3.56,3.64;21;9;0.34;1.67
26,5,3.83,1.48;21;10;4.69;2.67
26,7,3.59,2.21;21;12;2.58;2.73
26,9,3.41,4.39;21;15;4.18;2.76
26,11,2.99,1.81;21;23;1.68;2.46
26,17,3.39,3.77;21;24;2.10;2.93
26,21,3.38,2.21;22;1;3.83;2.55
27,1,3.54,2.95;22;2;5.25;3.01
27,2,4.28,4.79;22;3;4.20;4.24
27,3,1.28,3.66;22;4;5.23;2.17
27,4,3.55,3.63;22;6;2.42;2.48
27,5,3.83,1.49;22;7;3.19;2.86
27,7,3.59,2.21;22;8;3.26;2.43
27,9,3.40,4.39;22;9;0.33;1.67
27,11,3.00,1.81;22;10;4.70;2.67
27,17,3.39,3.77;22;12;2.59;2.72
27,21,3.38,2.21;22;15;4.18;2.76
28,1,3.53,2.95;22;23;1.68;2.47
28,2,4.28,4.79;22;24;2.11;2.93
28,3,1.14,3.65;23;1;3.83;2.55
28,4,3.55,3.63;23;2;5.25;3.01
28,5,3.82,1.49;23;3;4.20;4.24
28,7,3.58,2.21;23;4;5.23;2.17
28,9,3.41,4.38;23;6;2.42;2.48
28,11,3.00,1.81;23;7;3.19;2.86
28,17,3.40,3.77;23;8;3.26;2.43
28,21,3.38,2.21;23;9;0.33;1.67
28,27,0.20,2.24;23;10;4.70;2.67
29,1,3.53,2.95;23;12;2.59;2.72
29,2,4.28,4.79;23;15;4.18;2.76
29,3,1.09,3.65;24;1;3.83;2.55
29,4,3.55,3.63;24;2;5.25;3.01
29,5,3.82,1.49;24;3;4.20;4.24
29,7,3.58,2.21;24;4;5.23;2.18
29,9,3.41,4.39;24;6;2.42;2.48
29,11,2.99,1.81;24;7;3.19;2.86
29,17,3.40,3.77;24;8;3.26;2.43
29,21,3.37,2.21;24;9;0.33;1.68
29,27,0.21,2.23;24;10;4.70;2.67
29,15,3.38,0.74;24;12;2.59;2.72
30,1,3.54,2.95;24;15;4.18;2.76
30,2,4.28,4.79;25;1;3.83;2.55
30,3,1.07,3.65;25;2;5.26;3.01
30,4,3.55,3.63;25;3;4.20;4.24
30,5,3.82,1.50;25;4;5.23;2.18
30,7,3.62,2.15;25;7;3.19;2.86
30,9,3.41,4.39;25;8;3.26;2.43
30,11,2.99,1.80;25;9;0.32;1.69
30,17,3.40,3.77;25;10;4.70;2.67
30,21,3.38,2.21;25;12;2.59;2.71
30,27,0.21,2.23;25;15;4.18;2.75
30,15,3.38,0.74;26;1;3.83;2.55
30,6,0.67,0.83;26;2;5.26;3.01
31,1,3.54,2.95;26;3;4.20;4.24
31,2,4.28,4.79;26;4;5.23;2.18
31,3,1.08,3.65;26;7;3.19;2.86
31,4,3.55,3.62;26;8;3.26;2.43
31,5,3.82,1.50;26;9;0.32;1.69
31,7,3.64,2.13;26;10;4.70;2.67
31,9,3.40,4.38;26;12;2.59;2.71
31,11,2.99,1.80;26;15;4.18;2.76
31,17,3.40,3.76;27;1;3.83;2.55
31,21,3.38,2.21;27;2;5.26;3.01
31,27,0.22,2.23;27;3;4.20;4.24
31,15,3.38,0.74;27;4;5.23;2.18
31,32,3.24,3.77;27;7;3.19;2.86
31,6,0.68,0.83;27;8;3.26;2.43
32,1,3.54,2.95;27;9;0.32;1.70
32,2,4.28,4.79;27;10;4.70;2.67
32,3,1.09,3.65;27;15;4.18;2.76
32,4,3.55,3.61;28;1;3.83;2.55
32,5,3.82,1.51;28;2;5.26;3.01
32,7,3.65,2.12;28;3;4.20;4.24
32,9,3.40,4.38;28;4;5.23;2.18
32,11,2.99,1.80;28;7;3.19;2.86
32,17,3.40,3.76;28;8;3.26;2.43
32,21,3.38,2.21;28;9;0.33;1.70
32,27,0.22,2.23;28;10;4.70;2.66
32,15,3.38,0.74;28;15;4.18;2.76
32,32,3.24,3.77;29;1;3.83;2.55
32,6,0.68,0.83;29;2;5.26;3.02
33,1,3.54,2.95;29;3;4.20;4.24
33,2,4.28,4.79;29;4;5.23;2.17
33,3,1.09,3.65;29;7;3.19;2.86
33,4,3.56,3.61;29;8;3.26;2.43
33,5,3.82,1.51;29;9;0.33;1.70
33,7,3.66,2.11;29;10;4.70;2.67
33,9,3.40,4.37;29;15;4.18;2.76
33,11,2.99,1.80;30;1;3.82;2.55
33,17,3.40,3.76;30;2;5.27;3.02
33,27,0.22,2.23;30;3;4.20;4.24
33,15,3.39,0.74;30;4;5.23;2.17
33,32,3.24,3.77;30;7;3.19;2.86
33,6,0.68,0.83;30;8;3.26;2.43
33,34,3.78,2.95;30;9;0.32;1.70
34,1,3.54,2.95;30;10;4.70;2.67
34,2,4.28,4.79;30;15;4.18;2.76
34,3,1.09,3.65;30;5;0.99;2.74
34,4,3.56,3.60;31;1;3.82;2.55
34,5,3.82,1.51;31;2;5.27;3.02
34,7,3.67,2.12;31;3;4.20;4.23
34,9,3.40,4.38;31;4;5.23;2.17
34,11,2.99,1.81;31;7;3.20;2.86
34,17,3.41,3.75;31;8;3.26;2.43
34,27,0.30,2.23;31;9;0.32;1.70
34,15,3.39,0.74;31;10;4.70;2.67
34,32,3.24,3.77;31;15;4.18;2.76
34,6,0.67,0.83;32;1;3.82;2.55
34,34,3.76,2.95;32;2;5.27;3.03
35,1,3.55,2.95;32;3;4.20;4.23
35,2,4.28,4.79;32;4;5.23;2.17
35,3,1.08,3.65;32;7;3.20;2.86
35,4,3.56,3.60;32;8;3.26;2.43
35,5,3.82,1.50;32;9;0.32;1.71
35,7,3.67,2.12;32;10;4.70;2.67
35,9,3.40,4.38;32;15;4.18;2.76
35,11,2.99,1.81;33;1;3.82;2.55
35,17,3.41,3.75;33;2;5.27;3.02
35,27,0.41,2.23;33;3;4.20;4.23
35,15,3.39,0.74;33;4;5.23;2.17
35,32,3.24,3.77;33;7;3.20;2.86
35,6,0.67,0.83;33;8;3.26;2.43
36,1,3.55,2.95;33;9;0.32;1.70
36,2,4.28,4.79;33;10;4.70;2.67
36,3,1.08,3.65;33;15;4.18;2.77
